date,rain_1h_mm,rain_24h_mm,rain_72h_mm,water_level_cm,danger_level_cm,rise_cm_per_hr,soil_moisture_pct,forecast_rain_24h_mm,flood_occurred
synthetic-0326,3.5,28.1,31.5,306.1,450.0,-2.8,80.5,6.0,0
synthetic-0327,0.6,2.6,5.6,268.2,450.0,3.3,49.7,2.3,0
synthetic-0328,5.4,23.2,26.7,222.5,450.0,1.3,66.5,14.0,0
synthetic-0329,13.0,44.6,93.8,313.7,450.0,1.0,54.2,11.1,0
synthetic-0330,3.4,12.5,15.0,121.6,450.0,0.5,43.9,48.5,0
synthetic-0331,5.0,74.1,96.3,469.5,450.0,2.5,79.1,67.8,1
synthetic-0332,10.2,54.9,79.8,254.8,450.0,4.6,49.0,8.2,0
synthetic-0333,6.7,25.6,27.8,416.5,450.0,9.0,83.2,43.5,1
synthetic-0334,1.6,5.8,9.5,106.7,450.0,1.4,67.8,15.8,0
synthetic-0335,13.8,50.6,60.7,378.6,450.0,4.9,100,73.9,1
synthetic-0336,0.2,1.6,2.1,132.7,450.0,-0.5,32.3,15.7,0
synthetic-0337,0.2,0.8,1.0,279.0,450.0,1.6,66.7,6.7,0
synthetic-0338,7.5,43.6,64.4,155.7,450.0,3.9,69.2,4.4,0
synthetic-0339,0.2,1.4,1.9,131.6,450.0,1.9,45.5,7.1,0
synthetic-0340,15.8,79.8,172.8,240.2,450.0,2.1,62.1,9.4,0
synthetic-0341,4.7,27.6,56.7,184.2,450.0,-3.4,48.3,7.7,0
synthetic-0342,25.4,123.9,224.6,383.0,450.0,4.4,96.6,28.5,1
synthetic-0343,6.3,21.2,32.0,311.5,450.0,4.1,50.3,1.6,0
synthetic-0344,13.0,88.5,95.7,277.7,450.0,0.3,87.9,29.5,0
synthetic-0345,0.9,5.9,9.6,193.1,450.0,3.0,36.2,11.7,0
synthetic-0346,0.3,2.4,2.7,260.6,450.0,4.7,42.4,9.9,0
synthetic-0347,0.5,6.3,8.4,176.2,450.0,-2.2,56.9,0.5,0
synthetic-0348,5.6,101.1,210.0,164.6,450.0,0.8,79.7,30.4,0
synthetic-0349,1.6,5.4,6.3,200.6,450.0,0.2,48.6,24.4,0
synthetic-0350,6.2,26.2,52.1,183.8,450.0,-0.3,47.3,2.8,0
synthetic-0351,8.0,30.3,35.2,205.9,450.0,1.4,65.9,8.5,0
synthetic-0352,0.1,0.4,0.9,277.4,450.0,1.3,45.3,7.3,0
synthetic-0353,2.5,26.0,44.6,233.0,450.0,0.9,57.6,5.6,0
synthetic-0354,1.9,13.3,17.8,126.8,450.0,3.1,39.7,14.0,0
synthetic-0355,0.7,12.7,19.0,282.9,450.0,-1.3,37.0,3.8,0
synthetic-0356,13.5,106.6,209.5,235.7,450.0,0.3,53.8,3.5,0
synthetic-0357,4.0,15.4,28.0,174.7,450.0,-0.4,64.3,7.5,0
synthetic-0358,0.2,1.6,2.8,239.0,450.0,1.6,42.9,12.5,0
synthetic-0359,45.7,167.4,310.3,414.1,450.0,12.7,89.0,42.2,1
synthetic-0360,0.5,2.4,4.4,292.4,450.0,1.7,29.6,11.0,0
synthetic-0361,3.1,16.0,29.6,148.4,450.0,-1.2,62.3,0.4,0
synthetic-0362,5.1,19.4,31.3,210.3,450.0,1.4,23.1,13.4,0
synthetic-0363,3.0,31.4,60.1,112.0,450.0,1.6,63.4,19.8,0
synthetic-0364,7.1,57.5,75.4,257.4,450.0,-0.7,79.7,4.8,0
synthetic-0365,2.5,9.5,15.3,221.3,450.0,1.2,53.0,26.4,0
synthetic-0366,14.2,86.6,180.8,120.9,450.0,1.1,69.6,10.1,0
synthetic-0367,2.2,18.9,19.0,199.7,450.0,-0.3,48.1,12.1,0
synthetic-0368,0.4,2.8,4.9,200.2,450.0,0.6,48.6,11.4,0
synthetic-0369,10.8,49.2,60.5,173.9,450.0,2.3,56.2,21.5,0
synthetic-0370,1.1,4.3,5.2,167.5,450.0,1.9,65.7,10.7,0
synthetic-0371,1.4,5.2,7.3,224.2,450.0,-1.7,81.7,64.8,0
synthetic-0372,0.7,3.1,3.6,296.6,450.0,-0.7,61.2,15.6,0
synthetic-0373,0.2,2.8,4.6,236.4,450.0,4.5,62.1,3.5,0
synthetic-0374,2.7,16.3,27.0,94.4,450.0,-0.3,40.5,5.7,0
synthetic-0375,1.5,17.8,30.8,157.8,450.0,-1.1,36.2,3.8,0
synthetic-0376,0.2,1.7,2.1,116.5,450.0,1.2,59.7,2.7,0
synthetic-0377,0.4,3.4,7.2,156.5,450.0,2.8,59.3,2.8,0
synthetic-0378,9.6,54.1,59.9,457.9,450.0,0.3,82.8,45.1,1
synthetic-0379,0.2,1.6,1.8,142.0,450.0,2.2,54.1,7.5,0
synthetic-0380,4.4,71.4,136.4,340.4,450.0,15.0,84.7,46.6,1
synthetic-0381,4.1,16.3,18.2,170.4,450.0,-2.1,63.0,25.3,0
synthetic-0382,1.9,7.7,13.7,151.2,450.0,-2.4,74.2,19.3,0
synthetic-0383,20.4,81.5,139.3,482.1,450.0,6.7,89.5,86.2,1
synthetic-0384,0.2,3.0,6.5,170.7,450.0,3.5,59.1,21.9,0
synthetic-0385,0.4,1.8,3.3,100.3,450.0,0.4,68.0,14.6,0
synthetic-0386,2.7,12.5,13.9,240.7,450.0,-0.8,70.5,14.5,0
synthetic-0387,1.3,6.4,6.8,176.6,450.0,1.9,38.7,52.9,0
synthetic-0388,1.8,28.3,61.3,285.6,450.0,2.6,62.9,3.3,0
synthetic-0389,2.5,15.5,31.4,142.9,450.0,-3.0,61.9,7.1,0
synthetic-0390,3.0,41.3,41.3,293.1,450.0,8.1,76.3,80.0,1
synthetic-0391,0.9,14.5,20.8,204.4,450.0,1.3,76.6,36.0,0
synthetic-0392,2.2,9.1,10.3,229.4,450.0,-2.4,58.7,15.1,0
synthetic-0393,0.6,6.3,6.6,307.0,450.0,-0.1,72.6,14.5,0
synthetic-0394,3.1,18.9,27.9,114.1,450.0,-0.5,48.8,31.9,0
synthetic-0395,15.8,73.8,113.7,298.5,450.0,1.9,37.9,17.7,0
synthetic-0396,0.4,2.2,3.4,209.3,450.0,5.0,65.5,21.9,0
synthetic-0397,0.5,2.9,6.0,254.4,450.0,1.9,65.7,11.0,0
synthetic-0398,4.9,58.3,90.0,261.5,450.0,-0.3,93.2,42.3,0
synthetic-0399,3.8,18.1,38.3,157.3,450.0,-0.7,26.6,14.9,0
synthetic-0400,2.6,14.7,31.6,167.7,450.0,-2.1,17.6,12.6,0
synthetic-0401,14.8,57.0,108.1,198.1,450.0,-2.2,45.4,6.5,0
synthetic-0402,6.7,28.2,35.0,207.6,450.0,1.6,56.3,13.3,0
synthetic-0403,1.3,5.1,5.3,278.9,450.0,-0.1,43.3,16.8,0
synthetic-0404,29.1,118.2,151.9,464.6,450.0,3.2,84.5,21.5,1
synthetic-0405,1.0,5.1,7.0,298.5,450.0,-3.3,79.4,44.7,0
synthetic-0406,19.1,84.6,177.2,445.7,450.0,13.6,95.3,18.9,1
synthetic-0407,4.7,21.1,25.6,225.8,450.0,1.3,16.8,4.2,0
synthetic-0408,0.3,2.9,4.9,174.9,450.0,-1.8,63.3,1.7,0
synthetic-0409,4.0,18.6,32.3,124.6,450.0,0.2,59.4,32.3,0
synthetic-0410,2.2,12.8,13.8,266.4,450.0,-0.1,64.6,2.4,0
synthetic-0411,10.0,54.8,104.3,138.0,450.0,-0.4,67.4,3.0,0
synthetic-0412,5.3,26.0,45.2,92.0,450.0,-0.6,40.8,28.2,0
synthetic-0413,4.8,17.2,23.1,296.1,450.0,2.4,50.0,9.3,0
synthetic-0414,2.0,7.0,11.4,190.3,450.0,4.6,63.7,2.6,0
synthetic-0415,7.3,46.9,95.7,91.6,450.0,3.2,63.9,17.8,0
synthetic-0416,9.4,39.6,84.2,489.7,450.0,6.5,86.8,17.3,1
synthetic-0417,1.0,9.2,15.6,109.7,450.0,3.9,63.9,9.8,0
synthetic-0418,1.5,7.4,13.0,187.4,450.0,3.5,57.4,9.2,0
synthetic-0419,0.9,13.2,18.0,106.3,450.0,1.4,51.9,18.6,0
synthetic-0420,2.2,8.6,12.7,238.7,450.0,-1.9,58.0,1.8,0
synthetic-0421,13.9,48.3,70.0,242.4,450.0,3.6,41.3,15.7,0
synthetic-0422,2.9,12.1,16.6,91.1,450.0,-1.5,44.4,35.2,0
synthetic-0423,0.6,6.3,12.7,235.3,450.0,-0.7,54.3,3.0,0
synthetic-0424,3.0,24.1,40.0,281.6,450.0,6.4,35.1,7.4,0
synthetic-0425,9.3,124.3,222.2,379.6,450.0,11.7,83.0,73.7,1
synthetic-0426,4.9,34.6,58.0,191.4,450.0,-0.8,46.4,10.5,0
synthetic-0427,12.4,53.2,61.7,139.8,450.0,0.4,39.0,22.0,0
synthetic-0428,2.5,9.3,18.7,158.7,450.0,-0.7,52.0,11.2,0
synthetic-0429,0.7,11.6,18.7,289.4,450.0,1.2,57.7,0.2,0
synthetic-0430,1.9,7.8,12.2,293.9,450.0,-1.9,49.0,80.0,0
synthetic-0431,0.7,3.8,5.6,255.0,450.0,-0.1,71.2,8.6,0
synthetic-0432,8.1,28.3,34.3,228.2,450.0,1.7,70.6,7.1,0
synthetic-0433,7.3,51.5,55.4,198.8,450.0,-0.4,63.2,8.0,0
synthetic-0434,30.3,102.6,108.3,351.3,450.0,16.4,76.3,66.3,1
synthetic-0435,3.9,18.2,22.1,276.7,450.0,1.3,44.9,9.4,0
synthetic-0436,4.2,15.9,22.6,206.2,450.0,-2.6,77.9,8.7,0
synthetic-0437,1.0,9.9,17.5,202.9,450.0,1.3,61.9,1.0,0
synthetic-0438,1.1,6.7,10.6,116.6,450.0,0.9,82.2,15.3,0
synthetic-0439,0.2,2.6,4.6,95.1,450.0,3.0,60.2,2.1,0
synthetic-0440,0.2,0.9,0.9,130.5,450.0,3.1,49.7,10.0,0
synthetic-0441,15.4,62.0,106.6,313.4,450.0,1.3,48.2,21.3,0
synthetic-0442,0.3,3.0,5.1,149.5,450.0,0.2,41.4,7.2,0
synthetic-0443,0.3,1.7,1.9,283.4,450.0,-1.6,54.6,1.9,0
synthetic-0444,0.2,0.6,1.0,203.2,450.0,2.2,66.6,1.7,0
synthetic-0445,5.6,22.4,28.5,207.5,450.0,0.1,58.3,9.1,0
synthetic-0446,1.2,7.2,8.4,256.8,450.0,0.7,31.9,1.2,0
synthetic-0447,5.7,29.4,57.2,287.3,450.0,-0.6,60.3,14.8,0
synthetic-0448,27.4,128.7,152.6,424.7,450.0,8.3,81.9,86.1,1
synthetic-0449,7.1,29.0,43.3,172.3,450.0,0.0,77.4,16.9,0
synthetic-0450,1.8,6.9,13.1,147.1,450.0,-0.1,67.9,14.7,0
synthetic-0451,3.9,20.7,29.1,247.3,450.0,1.2,63.9,6.1,0
synthetic-0452,2.9,18.4,38.8,307.0,450.0,1.4,55.2,1.9,0
synthetic-0453,15.7,87.2,151.4,278.5,450.0,9.6,67.7,117.5,1
synthetic-0454,3.4,13.6,24.4,274.6,450.0,-0.9,42.6,2.7,0
synthetic-0455,0.0,0.5,0.7,206.1,450.0,0.6,64.1,0.4,0
synthetic-0456,5.8,86.2,162.5,169.5,450.0,-1.6,67.2,8.8,0
synthetic-0457,14.7,72.9,97.0,475.9,450.0,15.4,73.1,122.9,1
synthetic-0458,11.4,39.8,53.9,148.7,450.0,-0.3,58.9,0.9,0
synthetic-0459,11.4,47.1,78.9,273.0,450.0,-2.2,44.5,40.6,0
synthetic-0460,10.2,48.8,52.7,193.7,450.0,0.1,53.2,1.5,0
synthetic-0461,1.9,16.9,33.9,161.0,450.0,2.8,50.0,0.1,0
synthetic-0462,16.2,59.3,84.5,287.1,450.0,1.4,93.3,45.7,1
synthetic-0463,4.5,44.1,90.3,294.7,450.0,-0.8,55.1,16.0,0
synthetic-0464,0.9,4.3,7.7,125.1,450.0,4.0,76.0,13.5,0
synthetic-0465,12.2,70.6,144.3,229.7,450.0,-5.3,57.1,27.3,0
synthetic-0466,6.9,37.2,58.5,140.0,450.0,-0.1,52.7,19.3,0
synthetic-0467,0.4,7.5,13.7,129.3,450.0,3.6,51.6,7.4,0
synthetic-0468,2.7,13.0,20.4,227.9,450.0,0.3,73.9,3.2,0
synthetic-0469,0.9,10.4,12.6,247.7,450.0,-2.2,76.2,3.9,0
synthetic-0470,4.4,50.1,107.7,143.1,450.0,-1.3,61.1,1.9,0
synthetic-0471,0.4,2.9,5.7,314.0,450.0,1.9,40.3,15.3,0
synthetic-0472,2.0,12.6,22.1,245.4,450.0,3.9,65.1,7.8,0
synthetic-0473,2.0,6.7,13.7,299.7,450.0,0.5,58.0,1.6,0
synthetic-0474,3.0,12.9,20.4,129.3,450.0,0.9,41.2,13.4,0
synthetic-0475,1.5,7.2,10.1,232.1,450.0,1.2,62.2,19.8,0
synthetic-0476,8.0,68.1,120.7,141.3,450.0,-0.2,66.4,3.7,0
synthetic-0477,6.9,29.8,30.6,222.1,450.0,2.5,51.7,2.4,0
synthetic-0478,7.9,42.3,86.9,108.0,450.0,1.0,61.1,0.8,0
synthetic-0479,12.0,44.3,79.0,288.7,450.0,12.1,84.6,77.4,1
synthetic-0480,1.1,4.3,7.7,231.0,450.0,3.1,76.0,0.3,0
synthetic-0481,0.9,9.7,17.8,211.6,450.0,0.2,71.1,41.9,0
synthetic-0482,2.8,15.0,21.2,216.9,450.0,-2.3,51.9,4.4,0
synthetic-0483,1.2,8.7,17.6,148.5,450.0,0.5,55.2,20.3,0
synthetic-0484,0.0,0.1,0.2,303.1,450.0,0.2,55.3,6.8,0
synthetic-0485,9.3,63.3,119.4,396.1,450.0,10.9,81.2,71.0,1
synthetic-0486,0.6,4.6,8.3,143.9,450.0,0.9,22.2,19.8,0
synthetic-0487,2.9,24.8,43.2,282.0,450.0,1.2,66.3,12.2,0
synthetic-0488,8.4,36.1,67.1,210.4,450.0,0.9,61.4,3.8,0
synthetic-0489,0.6,2.4,3.8,166.9,450.0,-0.9,79.9,74.4,0
synthetic-0490,7.2,27.8,34.2,102.6,450.0,0.6,49.3,7.6,0
synthetic-0491,1.5,26.4,49.8,262.8,450.0,0.5,80.8,7.0,0
synthetic-0492,4.6,22.1,30.7,311.0,450.0,-2.5,58.9,4.5,0
synthetic-0493,31.5,118.6,244.9,327.0,450.0,6.1,81.6,44.7,1
synthetic-0494,0.1,1.8,3.5,163.0,450.0,1.3,65.5,1.5,0
synthetic-0495,6.7,92.1,109.5,404.1,450.0,3.6,82.6,69.4,1
synthetic-0496,3.3,40.1,78.1,230.7,450.0,3.2,62.9,14.5,0
synthetic-0497,8.4,60.0,109.6,260.3,450.0,1.2,39.9,2.6,0
synthetic-0498,4.7,34.3,42.0,188.4,450.0,-0.4,77.3,2.5,0
synthetic-0499,0.6,4.8,6.5,295.8,450.0,-0.2,53.1,2.0,0
synthetic-0500,0.0,0.0,0.0,175.3,450.0,0.7,57.7,23.3,0
synthetic-0501,2.1,16.1,28.0,177.2,450.0,-1.8,52.3,9.6,0
synthetic-0502,0.3,1.8,2.2,105.0,450.0,1.0,48.2,24.8,0
synthetic-0503,4.7,33.5,43.8,418.0,450.0,4.7,72.7,52.5,1
synthetic-0504,0.1,1.1,2.2,137.0,450.0,-3.7,56.7,1.0,0
synthetic-0505,2.8,41.8,43.8,173.0,450.0,-0.5,28.0,3.7,0
synthetic-0506,4.9,43.4,70.8,111.9,450.0,0.1,36.7,2.5,0
synthetic-0507,0.6,3.0,4.6,183.4,450.0,2.7,68.2,5.3,0
synthetic-0508,0.4,2.7,4.2,180.4,450.0,-0.1,62.5,77.5,0
synthetic-0509,13.6,71.5,123.6,173.6,450.0,0.7,39.1,15.5,0
synthetic-0510,6.4,21.8,40.7,147.2,450.0,2.6,51.1,6.1,0
synthetic-0511,2.8,10.9,11.2,157.9,450.0,0.1,65.1,23.2,0
synthetic-0512,0.4,4.8,6.9,215.2,450.0,1.5,51.1,0.5,0
synthetic-0513,3.0,13.1,24.6,272.5,450.0,2.2,63.3,30.0,0
synthetic-0514,0.7,2.8,3.9,245.2,450.0,-3.4,39.9,10.9,0
synthetic-0515,8.3,77.5,158.3,168.3,450.0,1.4,40.8,24.3,0
synthetic-0516,15.9,90.5,106.7,176.1,450.0,0.3,59.1,9.3,0
synthetic-0517,0.1,0.8,1.0,178.4,450.0,-2.0,61.8,8.4,0
synthetic-0518,5.5,66.4,128.1,101.1,450.0,-0.2,58.7,8.4,0
synthetic-0519,0.8,12.3,15.9,236.8,450.0,1.4,74.6,16.0,0
synthetic-0520,1.2,5.9,8.1,110.2,450.0,-0.5,41.1,5.1,0
synthetic-0521,3.4,55.0,64.6,408.6,450.0,19.2,93.6,58.0,1
synthetic-0522,0.9,3.3,7.1,260.5,450.0,1.1,49.2,0.7,0
synthetic-0523,9.8,97.4,160.2,115.0,450.0,0.1,56.0,2.8,0
synthetic-0524,1.0,4.5,7.6,254.2,450.0,2.5,73.0,0.2,0
synthetic-0525,5.0,96.8,172.8,447.6,450.0,10.9,83.1,53.3,1
synthetic-0526,0.5,4.7,8.4,238.5,450.0,0.8,52.8,24.2,0
synthetic-0527,29.6,105.3,163.1,285.0,450.0,-0.8,53.1,8.3,0
synthetic-0528,11.8,85.6,121.2,345.1,450.0,12.9,81.3,70.9,1
synthetic-0529,1.0,4.0,8.4,202.8,450.0,1.6,35.5,25.3,0
synthetic-0530,9.0,62.1,68.7,304.1,450.0,6.9,94.3,33.6,1
synthetic-0531,1.9,14.2,29.7,141.2,450.0,0.6,63.6,42.3,0
synthetic-0532,0.6,3.5,6.4,211.8,450.0,1.7,26.6,4.4,0
synthetic-0533,23.5,81.7,136.3,122.7,450.0,4.6,41.3,4.6,0
synthetic-0534,9.1,59.6,89.2,433.6,450.0,15.5,86.6,0,1
synthetic-0535,9.8,40.7,49.7,300.0,450.0,-0.0,80.8,1.4,0
synthetic-0536,0.8,4.7,8.5,142.0,450.0,0.8,77.7,5.3,0
synthetic-0537,0.8,13.9,17.2,174.1,450.0,1.9,41.0,1.8,0
synthetic-0538,0.1,0.2,0.2,182.9,450.0,0.2,10.3,17.0,0
synthetic-0539,7.1,30.3,31.8,163.1,450.0,-1.0,58.0,6.2,0
synthetic-0540,1.0,5.6,10.9,257.1,450.0,-1.5,44.8,25.0,0
synthetic-0541,24.1,116.1,188.0,206.7,450.0,-2.1,69.9,9.8,0
synthetic-0542,15.7,77.3,116.4,338.5,450.0,11.9,89.2,30.5,1
synthetic-0543,16.8,68.5,77.8,456.7,450.0,7.8,72.8,74.4,1
synthetic-0544,1.8,17.9,33.1,183.1,450.0,-0.7,57.9,10.7,0
synthetic-0545,0.7,4.3,4.9,294.1,450.0,1.4,32.1,1.6,0
synthetic-0546,2.7,11.1,16.2,268.0,450.0,-4.4,52.3,5.7,0
synthetic-0547,1.6,12.5,18.8,123.8,450.0,1.4,48.1,14.9,0
synthetic-0548,1.5,8.9,11.6,116.4,450.0,1.4,62.4,11.7,0
synthetic-0549,18.9,94.7,103.8,143.5,450.0,-1.4,46.0,6.3,0
synthetic-0550,0.7,11.9,21.2,215.4,450.0,0.8,50.8,1.9,0
synthetic-0551,3.6,16.5,20.0,157.1,450.0,1.1,52.7,6.5,0
synthetic-0552,1.3,17.6,37.4,267.1,450.0,1.5,69.8,10.4,0
synthetic-0553,1.5,6.9,8.0,105.2,450.0,-1.8,63.4,4.2,0
synthetic-0554,3.3,11.2,19.7,246.6,450.0,-0.2,50.3,15.7,0
synthetic-0555,5.2,17.5,28.5,311.9,450.0,-0.1,75.0,4.6,0
synthetic-0556,0.5,2.1,3.6,206.9,450.0,-1.1,42.1,2.4,0
synthetic-0557,9.0,67.6,101.1,116.5,450.0,2.6,33.1,82.7,0
synthetic-0558,3.0,57.3,79.6,153.4,450.0,0.9,42.5,8.5,0
synthetic-0559,1.4,6.3,8.8,228.6,450.0,1.7,56.7,4.8,0
synthetic-0560,5.9,23.9,33.6,198.3,450.0,-2.4,32.3,9.2,0
synthetic-0561,4.5,20.4,25.4,157.4,450.0,0.2,42.1,9.2,0
synthetic-0562,8.6,32.8,57.5,308.2,450.0,0.4,58.7,49.3,0
synthetic-0563,1.1,7.4,7.7,284.5,450.0,0.5,31.6,4.5,0
synthetic-0564,1.0,4.1,7.9,303.9,450.0,0.9,67.4,1.4,0
synthetic-0565,16.5,67.8,110.3,202.5,450.0,2.2,86.6,15.8,0
synthetic-0566,7.0,30.8,47.8,301.1,450.0,0.0,47.8,15.5,0
synthetic-0567,0.0,0.1,0.1,244.6,450.0,-0.2,51.4,7.5,0
synthetic-0568,0.7,5.6,7.5,160.2,450.0,1.9,46.7,2.6,0
synthetic-0569,0.3,1.9,2.3,151.6,450.0,3.3,57.0,8.7,0
synthetic-0570,0.4,2.3,3.2,153.7,450.0,0.5,60.8,11.4,0
synthetic-0571,1.9,9.5,16.4,113.8,450.0,2.5,60.2,2.4,0
synthetic-0572,5.3,18.0,29.6,160.3,450.0,1.8,33.4,13.3,0
synthetic-0573,2.1,9.4,17.1,272.9,450.0,2.5,46.8,7.3,0
synthetic-0574,0.9,4.0,7.3,283.7,450.0,-2.8,32.8,6.0,0
synthetic-0575,7.8,32.1,38.7,96.8,450.0,-1.3,57.2,7.4,0
synthetic-0576,12.2,81.1,132.9,269.3,450.0,-0.8,74.3,18.9,0
synthetic-0577,3.6,14.5,24.9,309.1,450.0,-0.9,64.1,20.2,0
synthetic-0578,4.0,23.2,39.2,143.1,450.0,0.1,49.8,32.1,0
synthetic-0579,2.4,9.3,10.5,275.0,450.0,2.7,88.5,0.9,0
synthetic-0580,1.5,7.1,14.9,238.5,450.0,3.6,69.9,26.2,0
synthetic-0581,21.0,95.3,117.7,389.5,450.0,9.8,76.9,85.1,1
synthetic-0582,0.9,12.7,17.9,158.5,450.0,2.5,49.4,48.6,0
synthetic-0583,7.3,115.4,191.4,298.7,450.0,7.7,82.9,87.7,1
synthetic-0584,3.3,25.8,38.0,283.8,450.0,1.5,46.8,14.5,0
synthetic-0585,1.9,7.2,15.2,239.1,450.0,-0.8,56.5,5.8,0
synthetic-0586,14.3,89.6,141.9,120.2,450.0,0.8,56.2,15.3,0
synthetic-0587,0.1,1.3,2.0,183.6,450.0,-2.9,62.2,11.1,0
synthetic-0588,1.3,12.0,24.3,169.9,450.0,1.6,73.8,10.4,0
synthetic-0589,1.4,7.9,9.0,172.6,450.0,3.1,52.3,14.6,0
synthetic-0590,0.6,2.3,2.5,311.3,450.0,4.0,52.3,7.5,0
synthetic-0591,4.7,36.4,71.2,486.1,450.0,9.1,95.0,80.0,1
synthetic-0592,8.7,56.1,105.5,375.5,450.0,13.8,76.0,57.3,1
synthetic-0593,1.6,24.0,40.2,97.9,450.0,3.4,43.4,15.6,0
synthetic-0594,24.2,92.2,148.1,272.0,450.0,-0.7,46.3,1.0,0
synthetic-0595,0.2,2.1,3.6,283.0,450.0,1.5,55.7,2.3,0
synthetic-0596,1.8,24.7,34.9,247.7,450.0,-3.1,57.5,23.8,0
synthetic-0597,8.5,40.8,62.3,201.6,450.0,3.9,54.0,3.3,0
synthetic-0598,2.5,19.9,29.4,234.5,450.0,0.5,47.6,2.2,0
synthetic-0599,1.1,20.9,42.8,175.5,450.0,-0.1,38.6,1.9,0
